Fecha inicial;PM10
9/02/2024 6:59;9.8
9/02/2024 5:59;9.99
9/02/2024 4:59;13.9
9/02/2024 3:59;19.64
9/02/2024 2:59;11.71
9/02/2024 1:59;17.49
9/02/2024 0:59;14.86
8/02/2024 23:59;13.66
8/02/2024 22:59;16.85
8/02/2024 21:59;24.68
8/02/2024 20:59;14.64
8/02/2024 19:59;22.91
8/02/2024 18:59;19.91
8/02/2024 17:59;18.9
8/02/2024 16:59;10.9
8/02/2024 15:59;11.86
8/02/2024 14:59;11.51
8/02/2024 13:59;13.36
8/02/2024 12:59;12.6
8/02/2024 11:59;10.61
8/02/2024 10:59;14.4
8/02/2024 9:59;11.4
8/02/2024 8:59;42.51
8/02/2024 7:59;32.89
8/02/2024 6:59;38.0
8/02/2024 5:59;44.86
8/02/2024 4:59;48.27
8/02/2024 3:59;19.27
8/02/2024 2:59;22.23
8/02/2024 1:59;22.1
8/02/2024 0:59;11.41
7/02/2024 23:59;9.96
7/02/2024 22:59;15.92
7/02/2024 21:59;18.3
7/02/2024 20:59;20.7
7/02/2024 19:59;11.7
7/02/2024 18:59;20.53
7/02/2024 17:59;17.9
7/02/2024 16:59;10.38
7/02/2024 15:59;8.82
7/02/2024 14:59;10.25
7/02/2024 13:59;6.3
7/02/2024 12:59;8.58
7/02/2024 11:59;8.09
7/02/2024 10:59;7.1
7/02/2024 9:59;7.94
7/02/2024 8:59;9.41
7/02/2024 7:59;19.36
7/02/2024 6:59;19.04
7/02/2024 5:59;19.34
7/02/2024 4:59;13.07
7/02/2024 3:59;20.57
7/02/2024 2:59;27.39
7/02/2024 1:59;22.63
7/02/2024 0:59;19.54
6/02/2024 23:59;21.17
6/02/2024 22:59;17.97
6/02/2024 21:59;17.39
6/02/2024 20:59;18.08
6/02/2024 19:59;14.48
6/02/2024 18:59;14.14
6/02/2024 17:59;12.39
6/02/2024 16:59;13.63
6/02/2024 15:59;10.2
6/02/2024 14:59;8.4
6/02/2024 12:59;6.74
6/02/2024 11:59;12.36
6/02/2024 10:59;17.74
6/02/2024 9:59;14.29
6/02/2024 8:59;8.98
6/02/2024 7:59;15.74
6/02/2024 6:59;21.46
